gfx,cu_num,M,N,K,bias,dtype,outdtype,BN,BK,SPLITK,BM,us
gfx950,256,4,2112,7168,False,torch.bfloat16,torch.bfloat16,64,128,14,16,4.9
gfx950,256,8,2112,7168,False,torch.bfloat16,torch.bfloat16,64,128,14,16,0
gfx950,256,16,2112,7168,False,torch.bfloat16,torch.bfloat16,64,128,14,16,5.1
gfx950,256,32,2112,7168,False,torch.bfloat16,torch.bfloat16,64,128,14,32,6.0
gfx950,256,64,2112,7168,False,torch.bfloat16,torch.bfloat16,32,128,7,64,7.0
gfx950,256,128,2112,7168,False,torch.bfloat16,torch.bfloat16,32,128,8,64,13.8
gfx950,256,256,2112,7168,False,torch.bfloat16,torch.bfloat16,32,128,8,64,24.2
gfx950,256,4,3072,1536,False,torch.bfloat16,torch.bfloat16,64,128,6,16,2.9
gfx950,256,8,3072,1536,False,torch.bfloat16,torch.bfloat16,64,128,6,16,0
gfx950,256,16,3072,1536,False,torch.bfloat16,torch.bfloat16,64,128,6,16,2.9
gfx950,256,32,3072,1536,False,torch.bfloat16,torch.bfloat16,32,128,6,32,3.2
gfx950,256,64,3072,1536,False,torch.bfloat16,torch.bfloat16,32,128,4,64,4.0
gfx950,256,128,3072,1536,False,torch.bfloat16,torch.bfloat16,32,128,4,64,4.6
gfx950,256,256,3072,1536,False,torch.bfloat16,torch.bfloat16,32,128,2,64,7.9
gfx950,256,32,384,7168,False,torch.bfloat16,torch.bfloat16,64,128,8,32,4.63
gfx950,256,64,384,7168,False,torch.bfloat16,torch.bfloat16,32,128,8,64,4.61
gfx950,256,128,384,7168,False,torch.bfloat16,torch.bfloat16,32,128,8,64,4.76
gfx950,256,256,384,7168,False,torch.bfloat16,torch.bfloat16,32,128,4,64,0
